source_id,title,organization,source_type,landing_url,pdf_url,priority_tier,ingestion_method,status,last_reviewed
quant-mutual-fund-amc-website,"Quant qSIF Hybrid Long Short Fund — NAV, Returns & Review | SIFPrime",Quant Mutual Fund,AMC Website,https://sifprime.com/sifs/qsif-hybrid-long-short,,5,playwright_scrape,active,2026-06-04
franklin-templeton-amc-website,Sapphire SIF - Franklin Templeton,Franklin Templeton,AMC Website,https://www.franklintempletonindia.com/sapphiresif,,5,playwright_scrape,active,2026-06-04
external--uncategorized-amc-website,Apex Hybrid Long-Short Fund - Invest Yadnya,External / Uncategorized,AMC Website,https://investyadnya.in/fund-o-meter/apex-hybrid-long-short-fund,,5,playwright_scrape,active,2026-06-04
hsbc-mutual-fund-brochure,RedHex Hybrid Long-Short Fund Deck - HSBC Asset Management,HSBC Mutual Fund,Brochure,https://www.assetmanagement.hsbc.co.in/en/redhex-sif/-/media/Files/attachments/india/redhex-sif/nfo-deck-redhex-hybrid-long-short-fund,,5,playwright_scrape,active,2026-06-04
iti-mutual-fund-amc-website,Diviniti SIF - ITI Mutual Fund,ITI Mutual Fund,AMC Website,https://sif.itiamc.com/Home/DownloadOtherFile/21,,5,playwright_scrape,active,2026-06-04
external--uncategorized-amc-website-1,DynaSIF Equity Long - Short Fund - Amazon S3,External / Uncategorized,AMC Website,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/Dyna_SIF_Equity_Long_Short_Fund_Presentation_d42634825b.pdf,https://s3.ap-south-1.amazonaws.com/x-web-s3.360.one/Dyna_SIF_Equity_Long_Short_Fund_Presentation_d42634825b.pdf,5,direct_download,active,2026-06-04
dsp-mutual-fund-amc-website,DSP Endurance SIF: Diversify with Specialized Investment Fund,DSP Mutual Fund,AMC Website,https://www.dspim.com/endurance-sif/,,5,playwright_scrape,active,2026-06-04
kotak-mutual-fund-amc-website,Kotak Mutual Fund,Kotak Mutual Fund,AMC Website,https://www.kotakmf.com/sif,,5,playwright_scrape,active,2026-06-04
tata-mutual-fund-amc-website-1,Specialized Investment Funds (SIFs): An Investor's Guide for India,Tata Mutual Fund,AMC Website,https://www.tatamutualfund.com/blogs/specialized-investment-funds-sifs-investors-guide-india,,5,playwright_scrape,active,2026-06-04
the-wealth-company-amc-website,SIF Guide | WSIF — The Wealth Company Mutual Fund,The Wealth Company,AMC Website,https://www.wealthcompanyamc.in/wsif/knowledge-center/sif-guide,,5,playwright_scrape,active,2026-06-04
kotak-mutual-fund-amc-website-1,"Specialised Investment Funds (SIFs): Meaning, Rules, Benefits & Risks",Kotak Mutual Fund,AMC Website,https://www.kotakmf.com/Information/blogs/what-are-specialised-investment-funds,,5,playwright_scrape,active,2026-06-04
hsbc-mutual-fund-amc-website,Specialized Investment Funds - HSBC Asset Management India,HSBC Mutual Fund,AMC Website,https://www.assetmanagement.hsbc.co.in/en/redhex-sif,,5,playwright_scrape,active,2026-06-04
external--uncategorized-amc-website-2,Specialized Investment Fund | SIF Investment in India - Anand Rathi,External / Uncategorized,AMC Website,https://anandrathi.com/specialized-investment-funds,,5,playwright_scrape,active,2026-06-04
quant-mutual-fund-amc-website-1,Quant qsif Equity Ex-Top 100 Long-Short Fund - Mid & Small Cap SIF | SIFFund,Quant Mutual Fund,AMC Website,https://siffund.com/sif/qsif-equity-ex-top-100,,5,playwright_scrape,active,2026-06-04
franklin-templeton-amc-website-1,What is the “Ideal Investment Horizon” while investing in this fund? - Franklin Templeton,Franklin Templeton,AMC Website,https://www.franklintempletonindia.com/fund-details/fund-overview/51097/sapphire-equity-long-short-sif,,5,playwright_scrape,active,2026-06-04
franklin-templeton-amc-website-2,Franklin Templeton steps into SIF with a long-short fund - Value Research,Franklin Templeton,AMC Website,https://www.valueresearchonline.com/stories/228252/franklin-templeton-sapphire-sif-equity-long-short-fund/,,5,playwright_scrape,active,2026-06-04
sebi-sebi-circular-5,"CIRCULAR SEBI/HO/IMD/IMD-PoD-1/P/CIR/2025/26 February 27, 2025 To, All Mutual Funds All Asset Management Companies (AMCs) All Tr - CSE-India",SEBI,SEBI Circular,https://www.cse-india.com/upload/upload/Feb_272025_2.pdf,https://www.cse-india.com/upload/upload/Feb_272025_2.pdf,1,direct_download,active,2026-06-04
sbi-mutual-fund-amc-website-1,Magnum SIF offered by SBIMF,SBI Mutual Fund,AMC Website,https://www.sbimf.com/magnumsif/longshorthybridfund,,5,playwright_scrape,active,2026-06-04
sebi-sebi-circular-6,SEBI Introduces Regulatory Framework for Specialized Investment Funds (SIFs) - Groww,SEBI,SEBI Circular,https://groww.in/blog/sebi-introduces-regulatory-framework-for-specialized-investment-funds,,1,playwright_scrape,active,2026-06-04
aditya-birla-sun-life-amc-website,NFO Alert: Aditya Birla Sun Life Mutual Fund launches Apex SIF's maiden strategy with Hybrid Long-Short Fund - The Economic Times,Aditya Birla Sun Life,AMC Website,https://m.economictimes.com/mf/mf-news/nfo-alert-aditya-birla-sun-life-mutual-fund-launches-apex-sifs-maiden-strategy-with-hybrid-long-short-fund/articleshow/129142811.cms,,5,playwright_scrape,active,2026-06-04
icici-prudential-amc-amc-website,ICICI Pru Mutual fund launches iSIF: Everything investors should know about the 2 new strategies - YouTube,ICICI Prudential AMC,AMC Website,https://www.youtube.com/watch?v=3t1l3lh5sEI,,5,playwright_scrape,active,2026-06-04
quant-mutual-fund-sid,What Are SIFs? Inside Quant Mutual Funds QSIF Launch | Sonia Shenoy Podcast FT. Sandeep Tandon - YouTube,Quant Mutual Fund,SID,https://www.youtube.com/watch?v=b8Vks9jCdI4,,3,playwright_scrape,active,2026-06-04
